fid,SITE,LAT,LONG,N,Index,Gen_ZONE_F,Region,S_Jan_0m,S_Feb_0m,S_Mar_0m,S_Apr_0m,S_May_0m,S_Jun_0m,S_Jul_0m,S_Aug_0m,S_Sep_0m,S_Oct_0m,S_Nov_0m,S_Dec_0m,T_Apr_0m,T_Feb_Bott,T_Mar_Bott,T_Apr_Bott,T_May_Bott,T_Jun_Bott,T_Jul_Bott,T_Aug_Bott,T_Sep_Bott,T_Oct_Bott,T_Nov_Bott,T_Dec_Bott,T_Jan_Bott,T_Feb_0m,T_Mar_0m,T_May_0m,T_Jun_0m,T_Jul_0m,T_Aug_0m,T_Sep_0m,T_Oct_0m,T_Nov_0m,T_Dec_0m,T_Jan_0m
"12",SFA-12,48.59219231,-68.59154769,"24","2",SFA-12-2,GSL,26.48069190979,25.4618091583252,24.0318546295166,22.3345203399658,20.2267837524414,18.47607421875,18.6964282989502,20.8360538482666,23.0293312072754,25.2777538299561,25.9775905609131,26.6655235290527,-0.213895916938782,4.02776956558228,3.97956943511963,3.9881534576416,3.99574637413025,4.00823736190796,4.00073909759521,4.02857446670532,3.99972987174988,4.00054502487183,4.01305723190308,4.0219988822937,4.04646873474121,-1.35744297504425,-1.29674959182739,4.68163728713989,10.8530464172363,15.0212469100952,15.6825723648071,12.8138399124146,8.40072536468506,4.61452627182007,1.12521171569824,-1.16961300373077
"21",SFA-15,45.37728667,-61.04028111,"36","1",SFA-15-1,Scotian,29.5684947967529,29.967565536499,30.2770137786865,30.2740345001221,30.1039180755615,29.97705078125,29.8724803924561,29.4620876312256,28.9608669281006,28.9936676025391,29.1743221282959,29.3534412384033,0.990169405937195,-0.201796129345894,-0.573382139205933,0.429984599351883,2.0539538860321,3.9242742061615,5.88157653808594,8.7816162109375,10.7762613296509,10.0506925582886,7.96720504760742,4.88984203338623,1.8024914264679,-0.810236155986786,-0.7485111951828,4.25860071182251,8.57956314086914,12.6059341430664,16.1897640228271,15.7920665740967,12.1662397384644,8.15122890472412,4.60368919372559,1.30285596847534
"36",SFA-6,50.30600108,-54.27895,"34","3",SFA-6-3,Northern,32.577766418457,32.676570892334,32.668643951416,32.4349517822266,32.0675048828125,31.6144580841064,31.00244140625,30.5908641815186,31.0791034698486,31.5898094177246,32.1745948791504,32.3358840942383,-1.18825173377991,1.04899489879608,0.942346751689911,0.862749040126801,0.97315639257431,1.04859709739685,1.16587817668915,1.1401914358139,1.12984490394592,1.25573086738586,1.38847303390503,1.36777222156525,1.16140866279602,-1.68709015846252,-1.71418714523315,0.980498194694519,4.99323701858521,9.04416179656982,10.9934139251709,8.98071479797363,5.65990924835205,2.26575493812561,-0.515431702136993,-1.59268915653229
